source_platform,external_id,title,listing_url,district,subdistrict,community_name,total_price,unit_price,area,layout,floor_info,orientation,decoration,build_year,follow_info,follow_count,tags
lianjia,107114187287,新上小三房，总价低，业主很诚意，得房率高,https://sh.lianjia.com/ershoufang/107114187287.html,七宝,七宝,东方花园二期,638.0,63094.0,101.12,3室2厅,低楼层(共14层),南,精装,2005,64人关注 / 5个月以前发布,64,VR看装修|房本满五年|随时看房
lianjia,107115049126,内环内，电梯房，高区通风采光好,https://sh.lianjia.com/ershoufang/107115049126.html,东外滩,东外滩,百兴花园,468.0,44164.0,105.97,3室2厅,高楼层(共24层),东南 南,精装,1997,18人关注 / 27天以前发布,18,近地铁|VR房源|房本满五年
lianjia,107113095236,大发融悦，次顶楼，视野好，采光好,https://sh.lianjia.com/ershoufang/107113095236.html,盈浦,盈浦,大发融悦,303.0,33652.0,90.04,3室2厅,高楼层(共18层),南,精装,2017,30人关注 / 9个月以前发布,30,VR看装修|房本满五年|随时看房
lianjia,107114212412,精装修，满五年，家庭名下一套房子，看房提前预约,https://sh.lianjia.com/ershoufang/107114212412.html,杨行,杨行,万科四季花城,339.0,34160.0,99.24,2室2厅,低楼层(共11层),南,精装,2006,49人关注 / 5个月以前发布,49,VR房源|房本满五年
lianjia,107113918775,双露台户型 次新房 附带双露台 户型方正 看房方便,https://sh.lianjia.com/ershoufang/107113918775.html,黄兴公园,黄兴公园,城浦公寓,500.0,58852.0,84.96,2室2厅,低楼层(共7层),南,精装,2000,51人关注 / 6个月以前发布,51,近地铁|VR房源|随时看房
lianjia,107114683449,中叠大别墅，价格有惊喜让你相信爱情,https://sh.lianjia.com/ershoufang/107114683449.html,安亭,安亭,大华·梧桐樾,460.0,34987.0,131.48,4室2厅,中楼层(共5层),南,精装,2025,24人关注 / 3个月以前发布,24,VR房源|随时看房
lianjia,107114623618,店长推荐 3房朝南 3房2厅2卫 采光位置好 业主诚意售房,https://sh.lianjia.com/ershoufang/107114623618.html,盈浦,盈浦,诚中城公寓,225.0,19525.0,115.24,3室2厅,高楼层(共6层),南,简装,1999,5人关注 / 3个月以前发布,5,VR房源|房本满五年|随时看房
lianjia,107115168867,满五年双南中高区采光充足视野好,https://sh.lianjia.com/ershoufang/107115168867.html,虹桥,虹桥,中紫小区,299.0,45691.0,65.44,2室1厅,中楼层(共29层),南,简装,1996,23人关注 / 15天以前发布,23,近地铁|VR房源|房本满两年
lianjia,107114613738,顶楼复式带露台和阁楼 价格包含产权车位 随时可以看房,https://sh.lianjia.com/ershoufang/107114613738.html,古美,古美,东苑半岛花园(公寓),1225.0,85438.0,143.38,3室2厅,高楼层(共9层),南,简装,2003,71人关注 / 3个月以前发布,71,近地铁|VR房源|房本满两年|随时看房
lianjia,107113919738,近黄浦江，一梯两户，小区清爽，楼道整洁，采光好,https://sh.lianjia.com/ershoufang/107113919738.html,东外滩,东外滩,凯达苑,350.0,54714.0,63.97,1室1厅,高楼层(共6层),南,简装,1997,28人关注 / 6个月以前发布,28,近地铁|VR看装修|房本满两年|随时看房
lianjia,107115180422,"次新电梯房，楼层好，位置佳，视野宽阔 ,配套齐全",https://sh.lianjia.com/ershoufang/107115180422.html,月浦,月浦,中冶锦园,109.0,20314.0,53.66,1室1厅,6层,南,简装,2015,8人关注 / 14天以前发布,8,VR房源|房本满五年
lianjia,107114181178,此房满五年，高区位置好，精致小户型，户型方正全朝南,https://sh.lianjia.com/ershoufang/107114181178.html,天山,天山,天山华庭,599.0,104030.0,57.58,1室1厅,中楼层(共18层),南,精装,2009,57人关注 / 5个月以前发布,57,近地铁|VR看装修|房本满五年
lianjia,107115013399,电梯高区采光好，进出小区方便，双南户型，近19号线,https://sh.lianjia.com/ershoufang/107115013399.html,江湾镇,江湾镇,江杨家园,380.0,49454.0,76.84,2室1厅,高楼层(共17层),南,简装,2006,17人关注 / 1个月以前发布,17,VR房源|随时看房
lianjia,107114019033,大双南带厅两房！全年采光！视野开阔！中间楼层！,https://sh.lianjia.com/ershoufang/107114019033.html,曲阳,曲阳,大西小区,360.0,58728.0,61.3,2室1厅,中楼层(共6层),南,简装,1986,19人关注 / 6个月以前发布,19,近地铁|VR看装修|房本满五年|随时看房
lianjia,107114571825,新上三佳两房，两房朝南，精装修拎包入住,https://sh.lianjia.com/ershoufang/107114571825.html,七宝,七宝,三佳花苑,319.0,48584.0,65.66,2室1厅,中楼层(共6层),南,精装,1994,19人关注 / 3个月以前发布,19,近地铁|甄选房|VR房源|房本满五年|随时看房
lianjia,107115160911,美丽家园示范小区，中间楼层低总价,https://sh.lianjia.com/ershoufang/107115160911.html,彭浦,彭浦,驰骋新苑,150.0,33845.0,44.32,1室1厅,中楼层(共6层),南,毛坯,1994,3人关注 / 16天以前发布,3,VR房源|房本满两年
lianjia,107113848674,精装大两房，有露台6平米，南北通、满五税少随时看房,https://sh.lianjia.com/ershoufang/107113848674.html,鲁迅公园,鲁迅公园,吉祥苑,750.0,61790.0,121.38,2室2厅,低楼层(共14层),南 北,精装,2001,105人关注 / 6个月以前发布,105,近地铁|VR看装修|随时看房
lianjia,107115162048,高区边套景观三房 一梯一户 刷卡到户,https://sh.lianjia.com/ershoufang/107115162048.html,古北,古北,强生古北花园,1420.0,98605.0,144.01,3室1厅,中楼层(共17层),南,精装,2007,15人关注 / 16天以前发布,15,近地铁|VR房源|房本满五年|随时看房
