point_id,point_name,grid_id,lon,lat,source,label,label_source,complaint_count_250m,complaint_count_500m,oil_smoke_ratio,road_occupation_ratio,night_complaint_ratio,weekend_complaint_ratio,holiday_complaint_ratio,bad_weather_ratio,poi_score_raw,flow_proxy_score,poi_score,complaint_risk,activity_proxy,date,hour_bucket,risk_level,label_notes,labeled_by,labeled_at
osm-way-1003031441,七巧国儿童中心,YANGPU_22_12,121.539361,31.2773069,mall,,,0,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,40.0,0.47878787878787876,0.47878787878787876,0.2076112810057764,0.47878787878787876,2026-03-19,-1,low,,,
osm-way-441927387,上海合生汇,YANGPU_12_22,121.513717,31.3018312,mall,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.9272727272727272,0.9272727272727272,0.0,0.9272727272727272,2026-03-19,-1,low,,,
osm-way-217739420,中原城市广场,YANGPU_14_29,121.5176276,31.3177477,mall,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.2606060606060606,0.2606060606060606,0.0,0.2606060606060606,2026-03-19,-1,low,,,
osm-way-894299939,太平洋生活广场,YANGPU_20_28,121.5349121,31.3142912,mall,,,0,5,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.44242424242424244,0.44242424242424244,0.19877675840978593,0.44242424242424244,2026-03-19,-1,low,,,
osm-way-983163983,滨江百联购物中心,YANGPU_20_7,121.533284,31.2671262,mall,,,4,13,0.07692307692307693,0.3076923076923077,0.0,0.15384615384615385,0.0,0.23076923076923078,56.0,0.6727272727272727,0.6727272727272727,1.0,0.6727272727272727,2026-03-19,-1,high,,,
osm-way-169022301,百联ZX造趣场,YANGPU_11_22,121.5114874,31.3002624,mall,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1.0,0.0,1.0,2026-03-19,-1,low,,,
osm-way-482847291,紫荆广场,YANGPU_12_11,121.5125264,31.2770768,mall,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.5272727272727272,0.5272727272727272,0.0,0.5272727272727272,2026-03-19,-1,low,,,
osm-node-3776289002,西南八楼地下商场,YANGPU_5_15,121.4951652,31.2846477,mall,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.6848484848484848,0.6848484848484848,0.0,0.6848484848484848,2026-03-19,-1,low,,,
osm-way-1057676233,黄兴广场,YANGPU_12_20,121.513539,31.2956081,mall,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.5878787878787879,0.5878787878787879,0.0,0.5878787878787879,2026-03-19,-1,low,,,
osm-way-1281292254,双辽菜市场,YANGPU_12_9,121.5133646,31.2720853,market,,,1,2,0.0,0.0,0.0,0.5,0.0,0.5,58.0,0.696969696969697,0.696969696969697,0.17227319062181445,0.696969696969697,2026-03-19,-1,low,,,
osm-way-895629992,殷行小商品市场,YANGPU_20_35,121.5334456,31.3295555,market,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.4303030303030303,0.4303030303030303,0.0,0.4303030303030303,2026-03-19,-1,low,,,
osm-node-13175016355,阳普图们菜市场,YANGPU_23_19,121.5426294,31.293069,market,,,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.003636363636363637,0.003636363636363637,0.17227319062181445,0.003636363636363637,2026-03-19,-1,low,,,
osm-node-11586752446,阳普阜新菜市场,YANGPU_8_12,121.5020778,31.2789145,market,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.6363636363636364,0.6363636363636364,0.0,0.6363636363636364,2026-03-19,-1,low,,,
osm-way-1383725132,三门路,YANGPU_9_28,121.5038915,31.3152515,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.6,0.6,0.0,0.6,2026-03-19,-1,low,,,
osm-way-1383725134,三门路,YANGPU_9_28,121.5060831,31.3150138,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2026-03-19,-1,low,,,
osm-way-1383725124,上海体育大学,YANGPU_14_29,121.5186188,31.3168071,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.3212121212121212,0.3212121212121212,0.0,0.3212121212121212,2026-03-19,-1,low,,,
osm-node-12811298345,上海体育大学（规划）,YANGPU_14_29,121.5186024,31.3168556,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2026-03-19,-1,low,,,
osm-way-1383725140,上海财经大学,YANGPU_5_26,121.4936524,31.3099936,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2026-03-19,-1,low,,,
osm-way-1383725143,上海财经大学,YANGPU_4_26,121.4918856,31.3105857,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.3696969696969697,0.3696969696969697,0.0,0.3696969696969697,2026-03-19,-1,low,,,
osm-node-9381127893,丹阳路,YANGPU_17_3,121.5260504,31.2569051,transit,,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.6,0.6,0.039755351681957186,0.6,2026-03-19,-1,low,,,
osm-node-5306444971,五角场,YANGPU_11_21,121.5100685,31.2997402,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.9151515151515152,0.9151515151515152,0.0,0.9151515151515152,2026-03-19,-1,low,,,
osm-way-1383701253,共青森林公园,YANGPU_23_29,121.5419438,31.3172747,transit,,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.039755351681957186,0.0,2026-03-19,-1,low,,,
osm-node-12811092054,共青森林公园（规划）,YANGPU_23_29,121.5420719,31.3173522,transit,,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.3212121212121212,0.3212121212121212,0.039755351681957186,0.3212121212121212,2026-03-19,-1,low,,,
osm-node-5306444969,同济大学,YANGPU_8_15,121.5020648,31.2844191,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.5393939393939394,0.5393939393939394,0.0,0.5393939393939394,2026-03-19,-1,low,,,
osm-node-5306355603,四平路,YANGPU_6_11,121.496992,31.2768579,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.6484848484848484,0.6484848484848484,0.0,0.6484848484848484,2026-03-19,-1,low,,,
osm-node-5313859995,四平路,YANGPU_6_11,121.4971465,31.2768609,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.6484848484848484,0.6484848484848484,0.0,0.6484848484848484,2026-03-19,-1,low,,,
osm-way-765739894,国帆路,YANGPU_10_40,121.5087823,31.3416315,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.296969696969697,0.296969696969697,0.0,0.296969696969697,2026-03-19,-1,low,,,
osm-node-5306444970,国权路,YANGPU_9_18,121.5055912,31.2912548,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2026-03-19,-1,low,,,
osm-node-9381616131,国权路,YANGPU_10_18,121.5068632,31.2912405,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.5272727272727272,0.5272727272727272,0.0,0.5272727272727272,2026-03-19,-1,low,,,
osm-node-5306464720,复兴岛,YANGPU_29_14,121.5569642,31.2830231,transit,,,0,1,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.40606060606060607,0.40606060606060607,0.30479102956167176,0.40606060606060607,2026-03-19,-1,low,,,
osm-node-9381675519,复旦大学,YANGPU_5_21,121.4953727,31.2982596,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2026-03-19,-1,low,,,
osm-way-551396720,大连路,YANGPU_10_4,121.5085779,31.259924,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.7818181818181819,0.7818181818181819,0.0,0.7818181818181819,2026-03-19,-1,low,,,
osm-way-1383725119,嫩江路,YANGPU_18_29,121.5274809,31.316777,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,2026-03-19,-1,low,,,
osm-way-1383725122,嫩江路,YANGPU_17_29,121.5263801,31.3167891,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.503030303030303,0.503030303030303,0.0,0.503030303030303,2026-03-19,-1,low,,,
osm-node-5306464717,宁国路,YANGPU_18_9,121.5283015,31.2706832,transit,,,1,3,0.0,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,54.0,0.6484848484848484,0.6484848484848484,0.4770642201834862,0.6484848484848484,2026-03-19,-1,medium,,,
osm-node-5306355611,市光路,YANGPU_18_33,121.5276336,31.3247936,transit,,,0,1,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.44242424242424244,0.44242424242424244,0.30479102956167176,0.44242424242424244,2026-03-19,-1,low,,,
osm-node-9381158917,平凉路,YANGPU_16_4,121.52253,31.2610517,transit,,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.039755351681957186,0.0,2026-03-19,-1,low,,,
osm-node-5306355607,延吉中路,YANGPU_19_18,121.5306115,31.2907317,transit,,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.039755351681957186,0.0,2026-03-19,-1,low,,,
osm-node-9381199385,抚顺路,YANGPU_11_15,121.5113331,31.2860526,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.3575757575757576,0.3575757575757576,0.0,0.3575757575757576,2026-03-19,-1,low,,,
osm-node-5306444975,新江湾城,YANGPU_8_35,121.5023484,31.3307804,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2026-03-19,-1,low,,,
osm-way-513237663,杨树浦路,YANGPU_12_1,121.5125161,31.2541829,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2026-03-19,-1,low,,,
osm-node-4714822515,杨浦,YANGPU_24_20,121.5437596,31.2957694,transit,,,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.07951070336391437,0.0,2026-03-19,-1,low,,,
osm-node-4714832178,殷行,YANGPU_22_31,121.5400582,31.3208537,transit,,,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.07951070336391437,0.0,2026-03-19,-1,low,,,
osm-node-5306444974,殷高东路,YANGPU_8_32,121.5024309,31.3238015,transit,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,2026-03-19,-1,low,,,
