date,weather_code,weather_text,temp_low,temp_high,precipitation_sum,precipitation_hours,source
2025-01-01,0,clear_sky,2.0,11.1,0.0,0.0,open-meteo archive api
2025-01-02,1,mainly_clear,5.6,12.6,0.0,0.0,open-meteo archive api
2025-01-03,3,overcast,4.1,10.9,0.0,0.0,open-meteo archive api
2025-01-04,3,overcast,3.6,12.2,0.0,0.0,open-meteo archive api
2025-01-05,3,overcast,6.1,13.9,0.0,0.0,open-meteo archive api
2025-01-06,3,overcast,4.7,10.6,0.0,0.0,open-meteo archive api
2025-01-07,3,overcast,2.3,8.4,0.0,0.0,open-meteo archive api
2025-01-08,3,overcast,-0.4,10.9,0.0,0.0,open-meteo archive api
2025-01-09,3,overcast,0.8,4.4,0.0,0.0,open-meteo archive api
2025-01-10,3,overcast,-0.8,3.7,0.0,0.0,open-meteo archive api
2025-01-11,3,overcast,-0.3,5.4,0.0,0.0,open-meteo archive api
2025-01-12,51,light_drizzle,0.9,9.2,0.1,1.0,open-meteo archive api
2025-01-13,1,mainly_clear,0.9,12.9,0.0,0.0,open-meteo archive api
2025-01-14,3,overcast,6.2,14.9,0.0,0.0,open-meteo archive api
2025-01-15,3,overcast,0.1,7.0,0.0,0.0,open-meteo archive api
2025-01-16,3,overcast,-2.3,6.2,0.0,0.0,open-meteo archive api
2025-01-17,3,overcast,-1.4,9.1,0.0,0.0,open-meteo archive api
2025-01-18,3,overcast,1.8,12.4,0.0,0.0,open-meteo archive api
2025-01-19,3,overcast,2.0,13.4,0.0,0.0,open-meteo archive api
2025-01-20,3,overcast,2.7,12.4,0.0,0.0,open-meteo archive api
2025-01-21,3,overcast,2.0,13.7,0.0,0.0,open-meteo archive api
2025-01-22,3,overcast,6.4,16.0,0.0,0.0,open-meteo archive api
2025-01-23,3,overcast,8.6,14.1,0.0,0.0,open-meteo archive api
2025-01-24,3,overcast,8.3,13.9,0.0,0.0,open-meteo archive api
2025-01-25,3,overcast,8.6,10.1,0.0,0.0,open-meteo archive api
2025-01-26,53,moderate_drizzle,4.8,8.4,2.5,9.0,open-meteo archive api
2025-01-27,3,overcast,0.4,5.2,0.0,0.0,open-meteo archive api
2025-01-28,0,clear_sky,-1.6,6.4,0.0,0.0,open-meteo archive api
2025-01-29,1,mainly_clear,-1.7,6.8,0.0,0.0,open-meteo archive api
2025-01-30,3,overcast,2.3,13.8,0.0,0.0,open-meteo archive api
2025-01-31,61,slight_rain,8.1,12.5,9.5,13.0,open-meteo archive api
2025-02-01,55,dense_drizzle,6.7,10.6,5.3,12.0,open-meteo archive api
2025-02-02,51,light_drizzle,4.8,8.3,0.7,2.0,open-meteo archive api
2025-02-03,3,overcast,2.5,8.1,0.0,0.0,open-meteo archive api
2025-02-04,51,light_drizzle,0.0,7.9,0.1,1.0,open-meteo archive api
2025-02-05,3,overcast,0.2,10.9,0.0,0.0,open-meteo archive api
2025-02-06,3,overcast,-0.9,7.9,0.0,0.0,open-meteo archive api
2025-02-07,3,overcast,-3.2,3.3,0.0,0.0,open-meteo archive api
2025-02-08,2,partly_cloudy,-4.1,0.8,0.0,0.0,open-meteo archive api
2025-02-09,3,overcast,-2.8,3.2,0.0,0.0,open-meteo archive api
2025-02-10,3,overcast,-1.8,7.2,0.0,0.0,open-meteo archive api
