point_id,point_name,source,score,complaint_risk,activity_proxy,label,label_source,label_notes,labeled_by,labeled_at
osm-way-1003031441,七巧国儿童中心,mall,0.1923636363636363,0.2076112810057764,0.0036363636363636,,,,,
osm-way-441927387,上海合生汇,mall,0.8527272727272728,0.0,0.0036363636363636,,,,,
osm-way-217739420,中原城市广场,mall,0.2523636363636363,0.0,0.0036363636363636,,,,,
osm-way-894299939,太平洋生活广场,mall,0.2298636363636363,0.1987767584097859,0.0036363636363636,,,,,
osm-way-983163983,滨江百联购物中心,mall,0.095577922077922,1.0,0.0036363636363636,,,,,
osm-way-169022301,百联ZX造趣场,mall,0.9,0.0,1.0,,,,,
osm-way-482847291,紫荆广场,mall,0.2523636363636363,0.0,0.0036363636363636,,,,,
osm-node-3776289002,西南八楼地下商场,mall,0.6951515151515152,0.0,0.0036363636363636,,,,,
osm-way-1057676233,黄兴广场,mall,0.2523636363636363,0.0,0.0036363636363636,,,,,
osm-way-1281292254,双辽菜市场,market,0.6917803030303031,0.1722731906218144,0.0036363636363636,,,,,
osm-way-895629992,殷行小商品市场,market,0.2523636363636363,0.0,0.4303030303030303,,,,,
osm-node-13175016355,阳普图们菜市场,market,0.2411136363636363,0.1722731906218144,0.0036363636363636,,,,,
osm-node-11586752446,阳普阜新菜市场,market,0.2523636363636363,0.0,0.0036363636363636,,,,,
osm-way-1383725132,三门路,transit,0.25,0.0,0.0,,,,,
osm-way-1383725134,三门路,transit,0.25,0.0,0.0,,,,,
osm-way-1383725124,上海体育大学,transit,0.25,0.0,0.0,,,,,
osm-node-12811298345,上海体育大学（规划）,transit,0.25,0.0,0.3212121212121212,,,,,
osm-way-1383725140,上海财经大学,transit,0.5296969696969697,0.0,0.0,,,,,
osm-way-1383725143,上海财经大学,transit,0.25,0.0,0.0,,,,,
osm-node-9381127893,丹阳路,transit,0.23875,0.0795107033639143,0.0,,,,,
osm-node-5306444971,五角场,transit,0.25,0.0,0.0,,,,,
osm-way-1383701253,共青森林公园,transit,0.23875,0.0397553516819571,0.0,,,,,
osm-node-12811092054,共青森林公园（规划）,transit,0.23875,0.0397553516819571,0.0,,,,,
osm-node-5306444969,同济大学,transit,0.6006060606060607,0.0,0.0,,,,,
osm-node-5306355603,四平路,transit,0.25,0.0,0.0,,,,,
osm-node-5313859995,四平路,transit,0.25,0.0,0.0,,,,,
osm-way-765739894,国帆路,transit,0.25,0.0,0.0,,,,,
osm-node-5306444970,国权路,transit,0.25,0.0,0.0,,,,,
osm-node-9381616131,国权路,transit,0.25,0.0,0.0,,,,,
osm-node-5306464720,复兴岛,transit,0.25,0.3047910295616717,0.406060606060606,,,,,
osm-node-9381675519,复旦大学,transit,0.25,0.0,0.0,,,,,
